"Label","ID","Spot N links","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," "," "," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","X","Y","Z"," "," "," "," "
"","","","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(µm)","",""
"18","18","2","5104.920549471098","14","5021.188609271523","3860.520152633563","1563.0","21210.0","3371.0","1.8954987E7","156.40245149882202","126.69172734569781","112.41150898136193","4826.919254658385","5.0","0","33"
"19","19","2","4039.560718950619","13","4258.682649006622","3065.7065255411367","1562.0","24826.0","3148.0","1.6076527E7","156.40245149882202","126.69172734569781","112.41150898136193","4299.416149068323","5.0","0","33"
"20","20","2","3701.914480365073","12","4099.3512868134785","3533.146005037577","1373.0","24141.0","2794.0","1.5450455E7","157.90583132472148","127.6941332342362","112.43775057383479","4317.188679245283","5.0","0","33"
"21","21","2","6505.578525597044","11","6172.286540483701","4672.947872264365","1752.0","31335.0","4466.0","2.3479378E7","157.90583132472148","132.20495973265886","108.92932996395047","5707.0","5.0","0","33"
"22","22","2","5625.215877760224","10","5399.66946705172","3901.682266353643","1487.0","23384.0","3898.0","2.0567341E7","157.90583132472148","129.69894501131293","108.92932996395047","5054.0125","5.0","0","33"
"23","23","2","5841.309600483824","9","5692.287214491993","4267.296212076662","1555.0","24894.0","3984.0","2.1681922E7","157.90583132472148","129.69894501131293","108.92932996395047","5419.7","5.0","0","33"
"24","24","2","6064.05989292592","8","5704.865424973767","4244.654585782113","1626.0","25364.0","3927.0","2.1746947E7","156.90357810745516","128.19533617850536","108.91183556896857","5316.182389937107","5.0","0","33"
"25","25","2","4594.355227684431","7","4732.767509215377","2908.727263118078","1617.0","19355.0","3870.0","1.7975051E7","157.40470471608833","128.19533617850536","108.92058276645952","4706.167785234899","5.0","0","33"
"26","26","2","3352.4302771131643","6","3595.6727224855185","1894.5775751059418","1484.0","15794.0","2985.0","1.3656365E7","157.40470471608833","128.19533617850536","108.92058276645952","3700.4026845637586","5.0","0","33"
"27","27","2","5378.242177115277","5","5312.8431991581165","3749.565616334316","1787.0","26497.0","4020.0","2.0194117E7","157.40470471608833","131.2025538441205","108.92058276645952","5134.203947368421","5.0","0","33"
"28","28","2","3612.5542144509827","4","3812.9467690677966","1869.4577037311897","1610.0","12974.0","3322.0","1.4397687E7","155.9013248901889","131.2025538441205","108.89434117398667","3874.5354838709677","5.0","0","33"
"29","29","2","4698.193918903758","3","4755.048895899054","1883.0799483146684","1933.0","11848.0","4391.0","1.8088206E7","157.90583132472148","132.2049597326589","108.92932996395047","4736.323170731707","5.0","0","33"
"30","30","2","3115.469366266435","2","3242.6049089469516","897.2194280656148","1306.0","10615.0","3089.0","1.228623E7","155.9013248901889","128.19533617850536","108.89434117398667","3187.5620915032678","5.0","0","33"
"31","31","2","3645.81859572671","1","3953.4880420499344","2207.3632986091725","1036.0","14674.0","3259.0","1.5043022E7","155.9013248901889","129.69894501131293","108.89434117398667","3933.0641025641025","5.0","0","33"
"32","32","1","3115.9419516984317","0","3200.4074462506555","1844.5252770633997","594.0","13017.0","2878.0","1.2206354E7","157.40470471608833","129.69894501131293","108.92058276645952","3200.7733333333335","5.0","0","33"
"33","33","1","4747.4745754281985","32","4707.696977730647","1071.5706448709896","1790.0","9724.0","4539.0","1.7757433E7","208.09432973951817","129.92932250499462","164.3689229510276","4552.438709677419","5.0","1","33"
"34","34","2","4987.022132604926","31","4674.562252180809","2028.653819579827","949.0","11965.0","4703.0","1.7683869E7","210.32424318981057","129.92932250499462","162.1390095007352","4487.105590062112","5.0","1","33"
"35","35","2","3698.887608378177","30","4010.5493368700263","684.6509893866111","2693.0","6661.0","3945.0","1.5119771E7","210.32424318981057","135.4425548919557","160.63540066792763","4239.276729559749","5.0","1","33"
"36","36","2","4214.685238640764","29","4419.70582010582","710.066470408214","3283.0","7174.0","4248.0","1.6706488E7","210.32424318981057","136.44496078049409","160.63540066792763","4570.6125","5.0","1","33"
"37","37","2","4442.758692469733","28","4575.2138881526635","701.1818716075873","3534.0","8166.0","4349.0","1.7262282E7","210.32424318981057","137.94856961330166","160.63540066792763","4647.006172839506","5.0","1","33"
"38","38","2","4196.378745814706","27","4293.186874011597","655.3596192610252","2660.0","6785.0","4198.0","1.6288351E7","209.76676482723747","137.94856961330166","161.7503573930738","4347.7531645569625","5.0","1","33"
"39","39","2","5229.187815927671","26","4976.958662453923","2265.109270196114","2015.0","12098.0","4169.0","1.8902489E7","210.26796777150665","138.44977255757084","161.7503573930738","4737.852760736197","5.0","1","33"
"40","40","2","4839.784750031647","25","4925.083091532577","2706.083876354242","1830.0","16596.0","3736.0","1.867099E7","206.75954716162232","138.44977255757084","161.7503573930738","4736.323170731707","5.0","1","33"
"41","41","2","5443.959448854271","24","5329.8384961609745","2515.8957220622137","1918.0","14290.0","4428.0","2.01308E7","206.75954716162232","139.45217844610923","161.7503573930738","5049.484662576687","5.0","1","33"
"42","42","2","4950.242137378188","23","5092.2403616059555","1943.9035901357972","2154.0","13637.0","4698.0","1.9151916E7","202.29972026103752","140.9557872789168","162.47666201055864","5014.675324675325","5.0","1","33"
"43","43","2","7950.235987346833","22","7864.893312101911","3502.2035056573836","3209.0","21016.0","7306.0","2.9634918E7","200.51473433671038","143.46180200026276","163.59161873570483","7482.157232704402","5.0","1","33"
"44","44","2","8067.385574375562","21","7629.020794946038","2885.2031312951767","3127.0","15658.0","6834.0","2.898265E7","199.95725597413727","143.46180200026276","164.14909709827793","7202.128834355828","5.0","1","33"
