,label,area,major_axis_length,solidity,max_intensity,mean_intensity,min_intensity,minor_axis_length
0,27,733.974,21.705752578221432,0.9226006191950465,1453.0,916.2214765100671,518.0,5.428960198017226
0,28,1039.386,17.54148218054977,0.9377777777777776,2920.0,1012.345971563981,315.0,8.656345929910186
0,29,2586.15,24.33270342090341,0.6800518134715026,7712.0,1454.272380952381,409.0,14.976332442927175
0,30,628.065,22.10124164769296,inf,1877.0,1131.070588235294,849.0,0.0
0,31,2039.364,23.274674613365487,0.9220489977728286,8475.0,1982.2874396135267,278.0,11.534068720408406
0,32,40888.263,73.05006221906795,0.667189132706374,16989.0,3700.9281368592256,553.0,35.90872426915557
0,33,1694.544,22.586199151311934,0.8610763454317897,33091.0,8306.969476744185,1142.0,8.53867242768469
0,34,467.97,18.185159812641068,0.852017937219731,4594.0,2226.7263157894736,959.0,5.028885302185954
0,35,1317.7050000000002,19.915099367685563,0.9052453468697125,1098.0,474.70467289719625,170.0,8.829361901199102
0,36,11805.159,45.2579350156795,0.7935430463576159,12781.0,3739.5059461715,803.0,21.145511968352682
0,37,1615.728,34.486408475055256,0.8735019973368842,10179.0,3819.6676829268295,1255.0,5.443492894262886
0,38,54072.702000000005,57.47805494406601,0.8346576436147968,16472.0,3729.644392821354,576.0,39.09154020669317
0,39,965.496,19.64039258667799,0.9491525423728813,12433.0,6264.443877551021,2682.0,5.494413367136269
0,40,3460.5150000000003,28.055769995507223,0.807007466973004,38280.0,8792.908896797153,924.0,12.7860271045728
0,41,408.858,21.418784546905428,inf,1462.0,658.9036144578313,318.0,0.0
0,42,990.126,25.272979973439927,0.776061776061776,12509.0,4503.848258706467,1321.0,8.499450225440443
0,43,5630.418000000001,25.92308511331775,0.8922716627634661,10455.0,4708.692038495188,1528.0,18.236668029138627
0,44,2605.8540000000003,28.131593645596446,0.8758278145695365,19927.0,3689.469754253308,1075.0,12.236108676351165
0,45,35018.934,60.26131948222466,0.8028232636928289,17181.0,3351.6501617667745,533.0,28.628993072139252
0,46,194.577,14.47842479273572,inf,2165.0,1057.6835443037974,685.0,0.0
0,47,1970.4,20.72595179535343,0.894854586129754,11844.0,3020.4875,1108.0,11.837486177801402
0,48,600.972,14.123820838175162,0.9104477611940297,10246.0,3786.9180327868853,1032.0,8.35282512000723
0,49,608.361,19.927782104789078,0.8884892086330934,11561.0,3359.7004048582994,1063.0,6.957895677448634
0,50,916.236,23.22140732711723,0.8340807174887892,12897.0,3314.3817204301076,907.0,8.120023669086573
0,51,2593.539,45.274657594276555,0.732776617954071,8050.0,3046.667616334283,1051.0,8.313421990031465
0,52,467.97,19.117302959051294,inf,2164.0,1576.2368421052631,1116.0,1.884864366154897e-07
0,53,29132.364,50.19358382833898,0.7233365949119374,11885.0,3631.8228779168076,645.0,29.46331003640359
0,54,53262.375,76.77695247091772,0.8157914591821336,38566.0,6468.206196531792,819.0,36.084738796227214
0,55,1509.819,30.00414244055285,0.6591397849462365,5528.0,1799.8955954323,684.0,10.229136395146915
0,56,243.83700000000002,23.813160144454805,inf,2359.0,1624.2323232323233,819.0,6.664001874625056e-08
0,57,142.854,12.76650906121781,inf,4045.0,2572.4310344827586,1092.0,0.0
0,58,48191.058000000005,78.09038114841155,0.8422004132231405,35365.0,5747.648829602372,982.0,33.33969939982096
0,59,970.422,27.122267011438055,inf,3483.0,1792.989847715736,815.0,0.0
0,60,29299.848,59.71389095944844,0.7670879546040754,7944.0,2836.5192501681236,738.0,30.70508431775259
0,61,26701.383,53.857507548073585,0.803096525668568,12706.0,3167.654736647911,745.0,29.635481769576323
0,62,482.748,20.866669349009115,inf,3156.0,1812.6122448979593,892.0,1.884864366154897e-07
0,63,35954.874,55.58220022071298,0.8783393501805056,12841.0,3663.1470749417726,599.0,36.31234044981537
0,64,421.173,13.49079810979295,0.9047619047619048,3338.0,1559.812865497076,737.0,5.342218365085768
0,65,1293.075,31.048597697878286,0.898972602739726,18000.0,9337.925714285715,4000.0,5.435701009534946
0,66,785.697,18.87343846157715,0.7120535714285714,9632.0,3806.4294670846393,1692.0,8.654722478854277
0,67,1418.688,26.407642177095887,0.8727272727272727,3051.0,1140.078125,500.0,5.260930646129445
0,68,7438.26,44.80343335044885,0.7003710575139147,9771.0,3405.5281456953644,558.0,17.157500492759638
0,69,32063.334000000003,54.202767644125494,0.8598414795244387,26410.0,6067.257566446458,986.0,33.767481241268996
0,70,4573.791,28.38777589269105,0.9107405590975969,4136.0,1743.5665051157782,445.0,17.017465296291903
0,71,21075.891,44.40060806603015,0.8583609188484301,14798.0,3695.4155662031085,1294.0,30.183990668298737
0,72,290.634,17.926536882698986,0.9007633587786259,9049.0,5188.093220338983,2925.0,4.6439670930637265
0,73,48156.576,67.41124925486696,0.7191672490528561,13931.0,4080.324928396072,954.0,32.78792295398988
0,74,605.898,38.09138761802376,inf,5543.0,1926.69918699187,770.0,0.0
0,75,4608.273,35.13251564563507,0.7322896281800392,5520.0,2691.343666488509,951.0,14.061021044169948
0,76,665.01,14.819419075412746,0.8598726114649681,10871.0,4451.814814814815,1482.0,8.146727086583434
