,label,area,major_axis_length,minor_axis_length,solidity,max_intensity,mean_intensity,min_intensity,surface_area_marchingcube
65,66,58331.229,69.32004422117876,34.497447214831524,0.8902379430891253,12787.0,3783.325296626272,999.0,9086.714668418253
66,67,39045.939,62.714532518424086,31.88432168725909,0.8627482993197279,9415.0,2632.1694947328583,896.0,7248.359207679667
67,68,2761.023,25.946512138043918,11.609078506566036,0.9004016064257029,2751.0,1494.5628902765388,827.0,1238.7472255089294
68,69,58338.618,75.22789825867187,36.79792993666916,0.6974881474719514,12889.0,3882.513552309381,707.0,10449.520209381015
69,70,46304.4,71.29569685698971,31.585961342569604,0.8519508768749717,11490.0,2854.4974468085106,782.0,8181.807531742772
70,71,44969.454,59.81941060614814,36.06386527019178,0.8357211516455348,9487.0,3056.566327089495,914.0,7842.9407779584535
71,72,684.714,25.802185342316452,0.0,inf,2621.0,2028.8705035971223,1444.0,669.799665667307
72,73,1155.147,24.403101708784757,5.372018615620045,0.9196078431372547,4896.0,2840.5863539445627,1327.0,762.9496882940965
73,74,33425.373,50.54613795251628,33.935779552031825,0.9147960903269294,17736.0,3870.5106477046643,717.0,6051.964590533874
74,75,36223.341,69.37731512289203,29.06288705470616,0.7963935669031245,7046.0,2245.3082885700687,505.0,7254.394886765223
75,76,44543.355,60.85207108666364,36.33472967574426,0.8853911681190639,5781.0,2363.340282001659,827.0,7655.438132120758
76,77,6494.9310000000005,65.9255918016584,5.447628678504097,0.81288532675709,11102.0,2773.1861964353434,787.0,3540.893576923845
77,78,7795.395,37.94139924048649,12.081655121147612,0.9163288940359003,12288.0,4017.0012638230646,1724.0,2677.989714368248
78,79,18772.986,72.90969970650423,16.04738569208246,0.711737790643384,14885.0,5260.223169771713,1816.0,5932.035440546274
79,80,573.879,37.382466535023234,0.0,inf,4083.0,2447.3776824034335,1528.0,596.9283706991994
80,81,2512.26,27.475212548599945,8.758998650501681,0.8166533226581265,14955.0,3196.041176470588,797.0,1285.5547977675915
81,82,66626.613,64.93026476554301,42.17093156628774,0.9329861350624266,12004.0,4252.482754796495,932.0,9298.424073159382
82,83,273.39300000000003,20.71188940012059,9.424321830774485e-08,inf,2522.0,1841.2612612612613,1370.0,301.39570121016584
83,84,27046.203,47.03279018836375,31.73475477084946,0.9207613617306725,13614.0,4215.499317002094,1138.0,5088.075502203405
84,85,12726.321,57.55393782807438,21.39652929193497,0.7203401645057855,10825.0,3861.6355718985874,816.0,4055.730041565037
85,86,8760.891,46.08836088899355,16.94850225670037,0.8499402628434886,12523.0,4699.407928029238,927.0,2919.2992292517274
86,87,35112.528,65.85459943243886,33.382976616071396,0.6675407379659112,15416.0,3775.56572671156,644.0,7812.683986159314
87,88,1066.479,39.63486060310959,6.195561011397428,0.815442561205273,3706.0,1311.863741339492,510.0,780.9426442114311
88,89,18886.284,56.05142427010324,21.162969766573692,0.8067332982640715,13964.0,4204.905059989567,1165.0,4726.379126083622
89,90,1785.675,20.332729396650716,11.28749314654652,0.9062499999999999,14661.0,5826.052413793103,1350.0,852.7434084320874
90,91,765.993,24.877123724597542,0.0,inf,4739.0,2826.893890675241,1715.0,741.0474896166037
91,92,571.416,28.748845703441674,0.0,inf,5940.0,2710.9137931034484,1230.0,591.3187333458379
92,93,2219.163,46.93660333742641,8.780317143275779,0.7661564625850339,10229.0,3515.723640399556,1656.0,1250.3016556188045
93,94,53570.25,64.67801503074442,36.560250034307934,0.8204451150509241,8985.0,3045.157379310345,587.0,9510.534230756213
94,95,34004.178,49.504515703807805,31.486530283045855,0.9043033994890941,8143.0,2565.6606547877736,515.0,6184.8337776293765
95,96,26762.958000000002,46.392072891393155,35.32034006082882,0.7031644340904679,15695.0,3937.840787778391,636.0,6177.119426609701
96,97,1386.669,43.18153996277341,0.0,inf,11039.0,3989.424511545293,1152.0,1322.273216653476
97,98,9792.888,44.71187707799784,18.344914440207052,0.7037168141592921,12386.0,3870.800804828974,767.0,3432.6713842503405
98,99,935.94,30.47143713850206,0.0,inf,4294.0,2956.9052631578948,1618.0,893.5522826738479
99,100,2701.911,32.49894191190117,10.909569704584044,0.844495765973826,7424.0,3372.3217866909754,1247.0,1248.1864538587074
100,101,42750.291000000005,73.95174961616642,30.585253627418066,0.8683710226135681,15109.0,3885.569568473815,731.0,7620.601909094412
101,102,211.818,13.140294368035713,0.0,inf,1459.0,1223.3139534883721,932.0,229.71178882097763
102,103,53008.686,90.84889363549891,38.27130529494921,0.646966873083629,21332.0,5501.2276740079915,916.0,10872.7940888568
103,104,315.264,21.77959217702102,0.0,inf,6350.0,3959.671875,1978.0,336.23487219552294
104,105,426.099,23.879035848342102,0.0,inf,2283.0,1269.1445086705203,723.0,440.44655646605514
105,106,12943.065,32.245258605871115,27.725651058218006,0.9279533815998587,9577.0,2543.412559467174,730.0,3087.289340435379
106,107,53412.618,63.186336946630675,37.131743156653414,0.8089979855256286,7688.0,2435.097297795813,438.0,9443.13861596528
107,108,26878.719,58.95441731279653,28.983649881040055,0.8601718294317017,34346.0,5098.142857142857,990.0,5513.920415739281
108,109,549.249,26.5388014915373,0.0,inf,1155.0,764.6188340807175,522.0,548.6114011767122
109,110,593.583,25.743189587738485,0.0,inf,1536.0,1138.091286307054,802.0,592.4831371006574
110,111,69392.562,84.06855064444363,40.51991706020545,0.8415927353108104,23998.0,7594.747746148932,1131.0,10698.177547364583
111,112,23967.453,43.6501681114709,33.006066389384955,0.8184188393608075,26265.0,6220.416606720789,1278.0,5175.205503204137
112,113,3706.815,39.90750476602271,8.61804481556895,0.8351831298557159,5562.0,3340.4897009966776,1664.0,1768.253494683392
113,114,42604.974,89.9911297346179,31.374696271242545,0.5850639247784617,23198.0,4266.290785061857,169.0,9756.055038137967
114,115,857.124,30.386921447913014,0.0,inf,10085.0,6719.727011494253,2870.0,831.6301324498511
115,116,369.45,24.350647750966875,2.4934411839666234e-07,inf,1478.0,1270.1466666666668,1001.0,394.5931108594111
116,117,38568.117,55.487077019316196,38.347343153045905,0.8351021278865126,42525.0,7763.940289929114,1561.0,7335.830525771036
117,118,15975.018,44.317235985975,22.043989956889636,0.8503998951094796,24525.0,4917.788467468394,1552.0,3979.808759013262
118,119,4571.328,38.30420833404714,8.664577390786723,0.833408172429277,3823.0,1434.353448275862,367.0,2305.981670119536
119,120,1517.208,29.077784631242274,5.276467456158624,0.8787446504992867,4104.0,1151.9253246753246,297.0,996.8497826534333
120,121,128.076,11.33431157974189,0.0,inf,164.0,104.84615384615384,52.0,149.97746213173787
121,122,1389.132,18.160301884822655,9.101376904911293,0.9038461538461539,2104.0,505.18617021276594,60.0,758.1955014897236
122,123,1155.147,36.92471901613523,0.0,inf,54.0,40.23880597014925,22.0,1102.2402107590503
123,124,379.302,16.175162825454603,0.0,inf,383.0,157.4025974025974,56.0,386.30357681287563
124,125,719.196,17.212524493779977,5.209514107520727,0.8848484848484848,186.0,74.50342465753425,36.0,517.2462843820462
0,1,54624.414000000004,473.60578619003763,37.95816328399748,0.06416929722785628,14891.0,2786.8964739832268,4.0,12932.199480865598
1,2,62626.701,86.47462428370488,36.7069116224525,0.7298220436280138,12054.0,2715.2240138435523,200.0,10831.38057752074
2,3,60230.202000000005,99.53315138168345,31.645745339743744,0.7013709631159296,9304.0,2691.3345873885664,315.0,11532.004181158578
3,4,1746.267,30.159907886388925,5.42205992051777,0.8187066974595842,8658.0,3345.488011283498,1267.0,1104.9617654365748
4,5,49597.431000000004,67.86432869013224,35.45629089635861,0.732494270852279,13526.0,3528.1815563390774,519.0,9155.922825849593
5,6,197.04000000000002,13.82029465696011,0.0,inf,2384.0,1597.825,991.0,219.64308420362494
6,7,322.653,22.31843865384473,0.0,inf,3234.0,1971.7099236641222,1427.0,351.19873251675835
7,8,5985.09,24.866355827300904,20.459228062091057,0.9211523881728582,8065.0,3348.4493827160495,669.0,1859.4461364895174
8,9,662.547,23.726756640713603,0.0,inf,7368.0,2935.888475836431,1034.0,651.7996656673068
9,10,6396.411,29.451086044348692,19.11126924351313,0.8791469194312796,3552.0,1197.241047362341,392.0,2041.5749519015824
10,11,1502.43,20.634920007708978,8.778630847983026,0.9341500765696785,1055.0,517.5950819672131,237.0,784.1652496670991
11,12,40984.32,74.87098187280984,31.204255395735913,0.7317180423024493,8226.0,2270.877283653846,341.0,8281.361428211681
12,13,10549.029,38.92425488444378,22.733819621528486,0.9181136120042872,6197.0,1609.2988559420967,250.0,2724.8150801456723
13,14,4928.463,36.25645755220833,14.74435892859428,0.7865566037735848,4309.0,1572.2793603198402,376.0,1884.2104645946429
14,15,8081.103,34.86636352660804,18.165892721287186,0.8959584926269799,3245.0,990.2837549527583,444.0,2485.8559758241627
15,16,305.41200000000003,18.63453888080008,0.0,inf,345.0,243.6048387096774,159.0,327.39570121016584
16,17,7472.742,33.275707942936634,17.459945420502716,0.9235920852359208,4841.0,1538.293671720501,265.0,2242.8890413447793
17,18,3566.424,22.616782724686555,14.261724350184123,0.9170360987967067,532.0,270.9488950276243,123.0,1323.8897617032226
18,19,55740.153,70.62175828261167,32.83062271506547,0.785198806467282,15130.0,3106.7738942158985,218.0,9907.694066909753
19,20,58572.603,69.89756863582943,37.64782627196315,0.8692203662414562,23805.0,3257.3483453176905,394.0,9171.163435583185
20,21,179.799,17.641668454743886,9.424321830774485e-08,inf,2009.0,1197.945205479452,591.0,211.7300791382788
21,22,18622.743000000002,50.678646951653626,24.87209527606654,0.9141579011002298,11091.0,3554.7768813648986,716.0,4139.490360925063
22,23,37671.585,53.745297869701574,34.49179008850689,0.8674077014688368,8868.0,2694.0719843085976,484.0,6700.214420595672
23,24,394.08000000000004,21.150412774722362,9.424321830774485e-08,inf,2069.0,1212.94375,632.0,406.7213749354659
24,25,47119.653,56.209893098397686,34.29539304667915,0.8376094570928196,29298.0,7474.392399770007,320.0,8076.282743697771
25,26,3219.141,25.978523950017955,12.411194161888575,0.899518238128011,5786.0,1772.992348890589,459.0,1316.4238818073504
26,27,1578.7830000000001,25.620226228705388,8.836741866678217,0.924963924963925,5259.0,2210.13728549142,796.0,846.4900889889956
27,28,253.68900000000002,20.738851927559555,0.0,inf,3683.0,2268.4660194174758,1368.0,280.29443165422504
28,29,30297.363,78.73452283371296,29.745639668430215,0.7298564139076777,3831.0,1656.5493049345582,534.0,6639.701584411918
29,30,268.467,18.636862109533887,0.0,inf,1512.0,1080.9816513761468,504.0,289.5239652862207
30,31,12169.683,52.12644366627675,11.450612502345969,0.8641133263378804,4979.0,1394.8783647035013,436.0,4131.260021215177
31,32,6063.906,45.99752013070657,11.613644387645966,0.809335963182117,10503.0,3418.451665312754,849.0,2538.0717848513323
32,33,5999.868,55.49213184406477,15.416382023424358,0.49552481692432876,7219.0,1917.0591133004925,496.0,3026.072106079946
33,34,1179.777,46.09589856784548,7.523625051509474,0.6689944134078213,2139.0,1074.1774530271398,507.0,900.7819954929678
34,35,504.915,20.749353526033264,0.0,inf,1156.0,858.1560975609756,617.0,503.3544320687649
35,36,3022.101,23.745664581262126,12.491766621014078,0.7931480284421462,3070.0,1458.1711491442543,470.0,1327.2816336328283
36,37,125.613,18.278836303191998,0.0,inf,1417.0,1184.6078431372548,918.0,162.33570079562602
37,38,44304.444,56.873014467530396,33.090426501917314,0.8796948356807512,10327.0,2502.1464865465864,576.0,7556.258452195239
38,39,527.082,22.76163509000481,0.0,inf,879.0,664.3317757009346,492.0,523.9783440434132
39,40,109406.46,128.6574413653017,40.597071114942175,0.6406669166642629,23767.0,5073.634736605133,902.0,16840.568224711868
40,41,44287.203,68.71160741230254,34.33111256671803,0.6871894825345869,10480.0,3293.105611478783,580.0,9174.20450999941
41,42,1724.1000000000001,30.632109769822662,8.786419761674646,0.8045977011494254,4801.0,2209.06,827.0,938.9928763328967
42,43,778.308,26.686702052406538,0.0,inf,1379.0,895.4651898734177,619.0,751.7401062086047
43,44,3465.4410000000003,43.15752052757013,8.564003164701955,0.7949152542372881,8410.0,2039.9772565742715,580.0,1784.4901548627709
44,45,25676.775,44.68791237881859,31.050145247935966,0.8465973688484651,21772.0,4767.951175059952,821.0,5304.758838996907
45,46,64560.156,63.66850795459639,41.850386839868136,0.9018096745338195,8587.0,3148.5280024416297,771.0,9426.353892321658
46,47,1716.711,18.12130817954191,12.506626958553285,0.9146981627296588,13712.0,4717.601147776184,1017.0,812.9050613971949
47,48,1667.451,21.067820527098597,10.830283779171756,0.9099462365591398,3064.0,1475.4564254062038,670.0,828.4408546935854
48,49,1987.641,19.95928353855544,11.548120845094928,0.9286536248561564,3346.0,1649.2874845105327,580.0,895.621587252358
49,50,490.137,13.799793208566298,5.500636066777679,0.9342723004694835,1774.0,1358.5427135678392,979.0,357.7285331105209
